ticker,ex_date,dividend
ABB.ST,2026-03-23,11.123152
ADDT-B.ST,2026-08-27,3.6
ALIV-SDB.ST,2025-09-04,8.087538
ALIV-SDB.ST,2025-11-20,8.277832
ALIV-SDB.ST,2026-03-03,8.277832
ALIV-SDB.ST,2026-05-19,8.277832
ALIV-SDB.ST,2026-08-27,8.277832
AZN.ST,2026-02-19,20.629745
AZN.ST,2026-08-06,10.282537
BERG-B.ST,2026-08-28,4.2
BETS-B.ST,2025-11-11,3.6589446
BETS-B.ST,2026-05-08,3.6589446
CIBUS.ST,2025-08-26,0.7779548
CIBUS.ST,2025-09-30,0.88701683
CIBUS.ST,2025-10-24,0.77613974
CIBUS.ST,2025-11-25,0.88701683
CIBUS.ST,2025-12-30,0.88701683
CIBUS.ST,2026-01-26,0.77613974
CIBUS.ST,2026-02-23,0.88701683
CIBUS.ST,2026-03-31,0.88701683
CIBUS.ST,2026-04-23,0.77613974
CIBUS.ST,2026-05-26,0.77613974
CIBUS.ST,2026-06-30,0.88701683
CIBUS.ST,2026-07-24,0.77613974
CIBUS.ST,2026-08-26,0.77613974
EAST.ST,2026-08-24,0.32
HEXA-B.ST,2026-04-27,1.5522795
LAGR-B.ST,2026-08-26,2.5
LUMI.ST,2025-09-04,0.188815
LUMI.ST,2025-12-04,0.188815
LUMI.ST,2026-03-20,0.188815
LUMI.ST,2026-06-05,0.188815
MCOV-B.ST,2026-04-30,2.217602
NDA-SE.ST,2026-03-25,10.644201
NDA-SE.ST,2026-08-05,3.7698216
SCST.ST,2025-09-18,1.24179
SCST.ST,2026-04-29,1.639163
SYSR.ST,2026-08-28,1.45
